Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52WH,52WL,VOLUME,VALUE,No of trades
07-Nov-24,EQ,"1,248.00","1,269.20","1,232.00","1,239.10","1,241.85","1,239.00","1,246.48","1,700.00",831.25,"1,49,541","18,64,00,060.95","21,467"
06-Nov-24,EQ,"1,220.00","1,249.00","1,210.50","1,207.05","1,239.80","1,239.10","1,231.28","1,700.00",831.25,"1,49,679","18,42,96,942.75","20,370"
05-Nov-24,EQ,"1,204.00","1,235.95","1,195.55","1,200.55","1,203.65","1,207.05","1,206.09","1,700.00",831.25,"1,23,663","14,91,49,086.55","21,125"
04-Nov-24,EQ,"1,264.90","1,264.90","1,196.45","1,245.60","1,202.45","1,200.55","1,206.58","1,700.00",831.25,"1,58,608","19,13,73,411.55","26,238"
01-Nov-24,EQ,"1,239.90","1,256.50","1,237.15","1,223.50","1,242.00","1,245.60","1,246.00","1,700.00",831.25,"33,680","4,19,65,158.95","4,500"
31-Oct-24,EQ,"1,220.00","1,257.75","1,194.05","1,197.10","1,220.00","1,223.50","1,222.22","1,700.00",831.25,"5,64,404","68,98,24,517.30","52,431"
30-Oct-24,EQ,"1,225.50","1,235.00","1,191.10","1,213.05","1,203.00","1,197.10","1,202.15","1,700.00",831.25,"1,67,713","20,16,15,744.35","13,909"
29-Oct-24,EQ,"1,214.00","1,216.65","1,195.55","1,209.70","1,214.95","1,213.05","1,207.78","1,700.00",831.25,"55,679","6,72,47,745.25","9,052"
28-Oct-24,EQ,"1,195.00","1,225.00","1,179.25","1,189.55","1,214.95","1,209.70","1,206.42","1,700.00",831.25,"1,16,953","14,10,93,921.00","16,284"
25-Oct-24,EQ,"1,265.00","1,269.45","1,174.55","1,260.40","1,202.00","1,189.55","1,201.34","1,700.00",831.25,"2,48,536","29,85,76,760.60","30,269"
24-Oct-24,EQ,"1,269.95","1,292.45","1,249.80","1,274.60","1,260.00","1,260.40","1,266.22","1,700.00",831.25,"62,384","7,89,91,821.40","11,151"
23-Oct-24,EQ,"1,260.00","1,284.95","1,225.15","1,266.55","1,276.10","1,274.60","1,261.96","1,700.00",831.25,"1,22,216","15,42,31,433.75","15,298"
22-Oct-24,EQ,"1,289.50","1,290.40","1,252.50","1,285.95","1,267.50","1,266.55","1,265.69","1,700.00",831.25,"1,17,532","14,87,59,579.40","13,451"
21-Oct-24,EQ,"1,323.75","1,333.05","1,280.00","1,323.75","1,280.05","1,285.95","1,299.66","1,700.00",831.25,"80,458","10,45,68,324.20","12,164"
18-Oct-24,EQ,"1,313.40","1,328.65","1,287.50","1,313.40","1,320.10","1,323.75","1,312.16","1,700.00",831.25,"87,628","11,49,82,128.60","18,011"
17-Oct-24,EQ,"1,344.50","1,345.95","1,310.00","1,342.50","1,313.55","1,313.40","1,323.03","1,700.00",831.25,"1,26,441","16,72,85,421.75","21,112"
