"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"07-Nov-2024","EQ","1,700.00","1,700.05","1,645.55","1,675.15","1,661.40","1,666.05","1,662.49","2,106.00","1,244.00","9,44,499","1,57,02,20,869.00","50,759"
"06-Nov-2024","EQ","1,648.00","1,684.90","1,635.15","1,633.55","1,676.95","1,675.15","1,670.57","2,106.00","1,244.00","9,80,220","1,63,75,24,507.20","47,652"
"05-Nov-2024","EQ","1,625.00","1,640.80","1,590.00","1,628.30","1,634.00","1,633.55","1,618.83","2,106.00","1,244.00","11,91,485","1,92,88,11,910.20","75,289"
"04-Nov-2024","EQ","1,652.90","1,652.90","1,606.50","1,647.30","1,627.70","1,628.30","1,622.16","2,106.00","1,244.00","8,54,857","1,38,67,12,961.30","58,966"
"01-Nov-2024","EQ","1,655.00","1,656.50","1,642.70","1,638.40","1,648.00","1,647.30","1,649.33","2,106.00","1,232.85","64,766","10,68,20,285.60","5,247"
"31-Oct-2024","EQ","1,662.50","1,679.10","1,632.60","1,662.50","1,641.00","1,638.40","1,641.06","2,106.00","1,232.85","17,87,940","2,93,41,22,886.25","90,749"
"30-Oct-2024","EQ","1,674.00","1,685.00","1,650.20","1,672.20","1,667.00","1,662.50","1,667.59","2,106.00","1,232.85","11,54,994","1,92,60,58,173.85","51,770"
"29-Oct-2024","EQ","1,677.90","1,683.05","1,646.30","1,668.40","1,675.45","1,672.20","1,665.61","2,106.00","1,232.85","10,36,926","1,72,71,17,668.75","63,240"
"28-Oct-2024","EQ","1,705.00","1,709.65","1,661.10","1,694.95","1,675.00","1,668.40","1,676.73","2,106.00","1,232.85","6,94,254","1,16,40,74,026.20","47,107"
"25-Oct-2024","EQ","1,723.50","1,730.35","1,677.10","1,723.30","1,698.65","1,694.95","1,694.79","2,106.00","1,232.85","7,20,139","1,22,04,84,774.60","62,248"
"24-Oct-2024","EQ","1,758.80","1,759.00","1,705.05","1,749.80","1,724.10","1,723.30","1,720.67","2,106.00","1,232.85","12,29,222","2,11,50,86,166.15","1,03,225"
"23-Oct-2024","EQ","1,775.00","1,776.75","1,746.50","1,770.80","1,755.00","1,749.80","1,759.14","2,106.00","1,232.85","14,57,260","2,56,35,24,720.30","54,902"
"22-Oct-2024","EQ","1,812.70","1,819.45","1,761.50","1,812.70","1,776.05","1,770.80","1,790.07","2,106.00","1,232.85","14,00,528","2,50,70,47,277.15","84,008"
"21-Oct-2024","EQ","1,855.00","1,865.00","1,801.70","1,849.70","1,814.95","1,812.70","1,816.45","2,106.00","1,232.85","9,20,339","1,67,17,46,579.05","39,975"
"18-Oct-2024","EQ","1,805.55","1,865.00","1,763.65","1,805.55","1,845.05","1,849.70","1,828.39","2,106.00","1,232.85","26,38,593","4,82,43,86,509.00","1,50,402"
"17-Oct-2024","EQ","1,945.00","1,946.05","1,785.80","1,939.30","1,789.15","1,805.55","1,840.17","2,106.00","1,232.85","31,42,978","5,78,36,29,048.10","1,14,022"
"16-Oct-2024","EQ","1,934.05","1,970.00","1,914.95","1,934.70","1,944.35","1,939.30","1,931.26","2,106.00","1,232.85","6,46,184","1,24,79,50,777.50","49,968"
"15-Oct-2024","EQ","1,951.90","1,951.90","1,921.60","1,940.25","1,932.90","1,934.70","1,933.10","2,106.00","1,232.85","4,84,293","93,61,85,112.55","59,834"
"14-Oct-2024","EQ","1,939.15","1,960.00","1,933.35","1,938.50","1,942.00","1,940.25","1,945.43","2,106.00","1,232.85","5,05,739","98,38,77,297.50","39,032"
"11-Oct-2024","EQ","1,944.45","1,947.00","1,928.50","1,938.30","1,939.15","1,938.50","1,938.25","2,106.00","1,232.85","3,29,385","63,84,29,765.55","24,082"
"10-Oct-2024","EQ","1,941.00","1,959.35","1,930.30","1,928.70","1,938.90","1,938.30","1,945.95","2,106.00","1,232.85","5,17,804","1,00,76,21,377.45","44,604"
"09-Oct-2024","EQ","1,934.10","1,971.80","1,920.30","1,948.45","1,938.90","1,928.70","1,943.98","2,106.00","1,232.85","12,81,595","2,49,13,94,556.00","70,831"
"08-Oct-2024","EQ","1,914.00","1,954.70","1,910.00","1,914.60","1,952.00","1,948.45","1,936.77","2,106.00","1,232.85","10,86,748","2,10,47,76,038.60","61,531"
"07-Oct-2024","EQ","1,944.00","1,950.00","1,900.95","1,934.45","1,918.50","1,914.60","1,922.61","2,106.00","1,232.85","7,31,944","1,40,72,40,422.25","82,144"
"04-Oct-2024","EQ","1,968.95","1,983.55","1,928.90","1,972.90","1,936.00","1,934.45","1,955.83","2,106.00","1,232.85","13,79,482","2,69,80,37,590.10","53,199"
"03-Oct-2024","EQ","1,959.00","2,009.95","1,919.55","1,999.80","1,982.45","1,972.90","1,989.85","2,106.00","1,232.85","13,27,472","2,64,14,67,800.30","82,771"
"01-Oct-2024","EQ","2,020.00","2,065.40","1,970.55","2,012.90","1,998.00","1,999.80","1,995.66","2,106.00","1,232.85","8,60,908","1,71,80,78,936.70","45,660"
"30-Sep-2024","EQ","2,035.00","2,060.00","2,007.45","2,031.30","2,020.30","2,012.90","2,027.59","2,106.00","1,232.85","7,49,912","1,52,05,13,207.85","48,931"
"27-Sep-2024","EQ","2,037.00","2,037.00","2,000.55","2,022.05","2,033.00","2,031.30","2,023.36","2,106.00","1,232.85","13,25,848","2,68,26,69,905.45","57,171"
"26-Sep-2024","EQ","2,061.60","2,061.60","1,991.85","2,061.60","2,027.90","2,022.05","2,018.97","2,106.00","1,232.85","12,27,890","2,47,90,70,584.75","56,313"
"25-Sep-2024","EQ","2,062.00","2,072.95","2,034.70","2,068.15","2,070.00","2,061.60","2,051.64","2,106.00","1,232.85","6,76,261","1,38,74,44,041.40","52,334"
"24-Sep-2024","EQ","2,087.00","2,087.00","2,054.05","2,082.40","2,075.10","2,068.15","2,069.45","2,106.00","1,232.85","10,97,815","2,27,18,71,749.20","71,527"
"23-Sep-2024","EQ","2,057.00","2,106.00","2,051.00","2,048.10","2,080.45","2,082.40","2,082.01","2,106.00","1,232.85","13,11,899","2,73,13,86,367.10","66,975"
"20-Sep-2024","EQ","2,000.00","2,058.85","1,990.00","1,998.60","2,055.00","2,048.10","2,033.87","2,058.85","1,232.85","13,60,503","2,76,70,89,272.05","74,514"
"19-Sep-2024","EQ","1,987.80","2,002.00","1,967.60","1,987.80","1,996.00","1,998.60","1,989.71","2,023.00","1,232.85","7,57,558","1,50,73,22,574.00","47,795"
"18-Sep-2024","EQ","2,008.75","2,008.75","1,977.10","2,006.55","1,980.65","1,987.80","1,990.73","2,023.00","1,232.85","4,27,477","85,09,92,262.35","30,093"
"17-Sep-2024","EQ","1,995.00","2,009.95","1,973.00","1,989.90","2,009.00","2,006.55","1,996.04","2,023.00","1,232.85","5,96,475","1,19,05,85,972.15","61,391"
"16-Sep-2024","EQ","1,987.75","2,008.95","1,984.50","1,988.05","1,995.00","1,989.90","1,993.99","2,023.00","1,232.85","3,24,013","64,60,77,668.20","20,649"
"13-Sep-2024","EQ","2,001.00","2,023.00","1,974.00","1,996.40","1,984.00","1,988.05","1,999.08","2,023.00","1,232.85","11,47,593","2,29,41,34,801.30","52,155"
"12-Sep-2024","EQ","1,975.90","2,000.95","1,970.30","1,957.60","2,000.00","1,996.40","1,986.26","2,000.95","1,232.85","18,24,365","3,62,36,61,219.90","66,431"
"11-Sep-2024","EQ","1,925.00","1,968.00","1,924.95","1,922.45","1,965.00","1,957.60","1,948.08","1,985.40","1,232.85","11,75,514","2,28,99,99,459.05","51,834"
"10-Sep-2024","EQ","1,894.10","1,942.00","1,894.10","1,892.40","1,925.00","1,922.45","1,929.18","1,985.40","1,232.85","13,35,774","2,57,69,48,408.15","76,797"
"09-Sep-2024","EQ","1,872.35","1,900.00","1,859.05","1,872.35","1,893.95","1,892.40","1,882.20","1,985.40","1,232.85","4,22,565","79,53,50,187.80","18,037"
"06-Sep-2024","EQ","1,877.10","1,888.45","1,860.20","1,879.45","1,870.50","1,872.35","1,873.06","1,985.40","1,232.85","7,88,707","1,47,72,96,648.95","38,246"
"05-Sep-2024","EQ","1,916.00","1,916.00","1,860.00","1,901.30","1,877.10","1,879.45","1,879.79","1,985.40","1,232.85","5,44,961","1,02,44,13,854.60","27,676"
"04-Sep-2024","EQ","1,897.95","1,916.00","1,878.50","1,901.95","1,902.00","1,901.30","1,901.96","1,985.40","1,232.85","5,73,554","1,09,08,76,804.35","26,649"
"03-Sep-2024","EQ","1,890.00","1,910.00","1,882.00","1,885.40","1,900.50","1,901.95","1,900.28","1,985.40","1,232.85","5,93,605","1,12,80,15,015.25","34,087"
"02-Sep-2024","EQ","1,920.00","1,920.00","1,880.10","1,899.35","1,883.75","1,885.40","1,898.15","1,985.40","1,232.85","6,63,594","1,25,96,00,215.00","31,636"
"30-Aug-2024","EQ","1,888.00","1,921.50","1,888.00","1,893.25","1,898.70","1,899.35","1,900.61","1,985.40","1,232.85","15,62,361","2,96,94,38,997.00","47,979"
"29-Aug-2024","EQ","1,893.00","1,902.00","1,863.55","1,890.60","1,896.00","1,893.25","1,878.89","1,985.40","1,232.85","6,36,198","1,19,53,48,585.95","28,724"
"28-Aug-2024","EQ","1,899.00","1,905.85","1,878.00","1,895.20","1,893.95","1,890.60","1,892.84","1,985.40","1,232.85","7,66,452","1,45,07,72,896.45","25,450"
"27-Aug-2024","EQ","1,919.90","1,957.45","1,891.90","1,912.10","1,894.50","1,895.20","1,926.79","1,985.40","1,232.85","10,32,266","1,98,89,59,746.00","53,235"
"26-Aug-2024","EQ","1,882.10","1,916.35","1,880.35","1,884.65","1,910.00","1,912.10","1,904.61","1,985.40","1,232.85","5,80,249","1,10,51,46,735.20","27,326"
"23-Aug-2024","EQ","1,895.65","1,908.00","1,877.00","1,895.65","1,891.60","1,884.65","1,889.98","1,985.40","1,232.85","5,43,897","1,02,79,55,326.65","23,746"
"22-Aug-2024","EQ","1,924.00","1,924.00","1,893.55","1,920.55","1,900.00","1,895.65","1,904.79","1,985.40","1,232.85","7,67,704","1,46,23,15,177.60","29,838"
"21-Aug-2024","EQ","1,890.00","1,925.00","1,882.45","1,889.70","1,924.75","1,920.55","1,903.06","1,985.40","1,232.85","9,48,150","1,80,43,85,190.40","43,110"
"20-Aug-2024","EQ","1,888.90","1,902.55","1,866.00","1,881.85","1,887.05","1,889.70","1,889.49","1,985.40","1,232.85","9,64,261","1,82,19,57,630.15","48,838"
"19-Aug-2024","EQ","1,886.00","1,897.30","1,870.00","1,876.45","1,885.00","1,881.85","1,881.30","1,985.40","1,232.85","6,22,654","1,17,13,98,561.65","18,340"
"16-Aug-2024","EQ","1,871.00","1,890.90","1,852.50","1,845.95","1,874.05","1,876.45","1,870.81","1,985.40","1,232.85","16,20,998","3,03,25,84,656.00","48,645"
"14-Aug-2024","EQ","1,831.00","1,851.15","1,808.00","1,825.55","1,848.95","1,845.95","1,833.72","1,985.40","1,232.85","6,48,490","1,18,91,49,005.90","40,715"
"13-Aug-2024","EQ","1,815.00","1,844.95","1,803.80","1,810.05","1,827.85","1,825.55","1,826.66","1,985.40","1,232.85","8,10,978","1,48,13,84,296.45","49,651"
"12-Aug-2024","EQ","1,791.00","1,821.40","1,790.55","1,799.40","1,813.00","1,810.05","1,809.01","1,985.40","1,232.85","6,18,188","1,11,83,07,221.60","23,747"
"09-Aug-2024","EQ","1,803.00","1,807.55","1,791.00","1,785.55","1,794.70","1,799.40","1,799.65","1,985.40","1,232.85","7,89,272","1,42,04,09,521.35","33,222"
"08-Aug-2024","EQ","1,825.00","1,832.90","1,781.80","1,824.35","1,790.60","1,785.55","1,805.05","1,985.40","1,232.85","8,11,391","1,46,46,00,569.00","41,985"
"07-Aug-2024","EQ","1,805.00","1,829.25","1,793.45","1,789.45","1,829.00","1,824.35","1,818.68","1,985.40","1,232.85","3,52,266","64,06,57,504.40","29,529"
"06-Aug-2024","EQ","1,783.00","1,812.00","1,781.55","1,784.30","1,790.00","1,789.45","1,800.02","1,985.40","1,232.85","6,56,243","1,18,12,47,593.90","39,055"
"05-Aug-2024","EQ","1,765.10","1,806.20","1,765.10","1,819.50","1,775.75","1,784.30","1,782.77","1,985.40","1,232.85","9,70,438","1,73,00,71,702.50","51,689"
"02-Aug-2024","EQ","1,822.00","1,839.00","1,807.40","1,838.05","1,816.50","1,819.50","1,825.56","1,985.40","1,232.85","6,70,205","1,22,34,98,177.00","33,385"
